ts,source,status,rows,url,note
2026-06-02T12:31:04.879972+00:00,elo,ok,222,https://www.eloratings.net/1995.tsv,
2026-06-02T12:31:07.527745+00:00,elo,ok,223,https://www.eloratings.net/1996.tsv,
2026-06-02T12:31:09.603456+00:00,elo,ok,223,https://www.eloratings.net/1997.tsv,
2026-06-02T12:31:11.759175+00:00,elo,ok,226,https://www.eloratings.net/1998.tsv,
2026-06-02T12:31:14.184353+00:00,elo,ok,228,https://www.eloratings.net/1999.tsv,
2026-06-02T12:31:16.324914+00:00,elo,ok,229,https://www.eloratings.net/2000.tsv,
2026-06-02T12:31:18.653155+00:00,elo,ok,231,https://www.eloratings.net/2001.tsv,
2026-06-02T12:31:20.963691+00:00,elo,ok,231,https://www.eloratings.net/2002.tsv,
2026-06-02T12:31:23.186794+00:00,elo,ok,232,https://www.eloratings.net/2003.tsv,
2026-06-02T12:31:25.709880+00:00,elo,ok,234,https://www.eloratings.net/2004.tsv,
2026-06-02T12:31:27.919595+00:00,elo,ok,234,https://www.eloratings.net/2005.tsv,
2026-06-02T12:31:30.000675+00:00,elo,ok,235,https://www.eloratings.net/2006.tsv,
2026-06-02T12:31:32.062682+00:00,elo,ok,235,https://www.eloratings.net/2007.tsv,
2026-06-02T12:31:34.484571+00:00,elo,ok,235,https://www.eloratings.net/2008.tsv,
2026-06-02T12:31:36.564448+00:00,elo,ok,235,https://www.eloratings.net/2009.tsv,
2026-06-02T12:31:38.820749+00:00,elo,ok,237,https://www.eloratings.net/2010.tsv,
2026-06-02T12:31:41.318702+00:00,elo,ok,237,https://www.eloratings.net/2011.tsv,
2026-06-02T12:31:43.892964+00:00,elo,ok,240,https://www.eloratings.net/2012.tsv,
2026-06-02T12:31:46.319398+00:00,elo,ok,240,https://www.eloratings.net/2013.tsv,
2026-06-02T12:31:48.828441+00:00,elo,ok,242,https://www.eloratings.net/2014.tsv,
2026-06-02T12:31:51.010645+00:00,elo,ok,243,https://www.eloratings.net/2015.tsv,
2026-06-02T12:31:53.074878+00:00,elo,ok,243,https://www.eloratings.net/2016.tsv,
2026-06-02T12:31:55.033218+00:00,elo,ok,243,https://www.eloratings.net/2017.tsv,
2026-06-02T12:31:57.003808+00:00,elo,ok,243,https://www.eloratings.net/2018.tsv,
2026-06-02T12:31:59.433625+00:00,elo,ok,243,https://www.eloratings.net/2019.tsv,
2026-06-02T12:32:01.746528+00:00,elo,ok,243,https://www.eloratings.net/2020.tsv,
2026-06-02T12:32:04.011250+00:00,elo,ok,243,https://www.eloratings.net/2021.tsv,
2026-06-02T12:32:06.450457+00:00,elo,ok,243,https://www.eloratings.net/2022.tsv,
2026-06-02T12:32:09.039789+00:00,elo,ok,242,https://www.eloratings.net/2023.tsv,
2026-06-02T12:32:11.282643+00:00,elo,ok,242,https://www.eloratings.net/2024.tsv,
2026-06-02T12:32:13.820816+00:00,elo,ok,243,https://www.eloratings.net/2025.tsv,
2026-06-02T12:32:16.363841+00:00,elo,ok,243,World.tsv,
2026-06-02T12:38:41.255176+00:00,football_data,empty,0,internationals,no intl odds feed
2026-06-02T12:38:43.022935+00:00,transfermarkt,fail,0,https://www.transfermarkt.com/weltmeisterschaft-2026/teilnehmer/pokalwettbewerb/WM26,blocked/anti-bot
2026-06-02T12:44:46.189939+00:00,features,ok,98562,team_match_features,
2026-06-02T12:44:50.061467+00:00,players,ok,18127,C:\Users\HP\OneDrive\Desktop\worldCup\fifa_wc_data\raw\kaggle\fifa-23-complete-player-dataset\male_players.csv,fifa ratings master (latest snapshot)
2026-06-02T12:45:16.472283+00:00,db,ok,49353,matches,
2026-06-02T12:45:17.373513+00:00,db,ok,98562,team_match_features,
2026-06-02T12:45:17.555760+00:00,db,ok,18127,players,
2026-06-02T12:45:17.657374+00:00,db,ok,12948,squads,
2026-06-02T12:45:17.702260+00:00,db,ok,18142,elo_ratings,
2026-06-02T12:45:17.849725+00:00,db,ok,67261,fifa_rankings,
2026-06-02T12:45:17.872108+00:00,db,ok,48,market_values,
2026-06-02T12:45:17.889570+00:00,db,ok,900,wc_matches_history,
2026-06-02T12:45:17.909292+00:00,db,ok,21,wc_tournaments,
2026-06-02T12:45:17.930178+00:00,db,ok,104,wc2026_fixtures,
2026-06-02T12:45:17.940327+00:00,db,ok,49,wc2026_qualified_teams,
2026-06-02T12:45:18.123631+00:00,db,ok,47601,goalscorers,
2026-06-02T12:45:18.143700+00:00,db,ok,0,odds,
2026-06-02T12:45:18.151321+00:00,db,ok,0,team_match_stats,
2026-06-02T12:45:18.158149+00:00,db,ok,0,player_match_stats,
2026-06-02T12:45:18.162605+00:00,db,ok,0,player_tournament_stats,
2026-06-02T12:45:18.169573+00:00,db,ok,0,injuries,
2026-06-02T12:45:18.174243+00:00,db,ok,0,venues,
2026-06-02T12:45:53.059059+00:00,venues,ok,1,Atlanta Stadium,33.772;-84.393
2026-06-02T12:45:54.581339+00:00,venues,ok,1,BC Place Vancouver,49.277;-123.112
2026-06-02T12:45:56.208612+00:00,venues,ok,1,Boston Stadium,42.091;-71.264
2026-06-02T12:45:58.234946+00:00,venues,ok,1,Dallas Stadium,32.780;-96.760
2026-06-02T12:46:00.563906+00:00,venues,empty,0,Guadalajara Stadium,no geocode result
2026-06-02T12:46:02.396667+00:00,venues,ok,1,Houston Stadium,29.685;-95.411
2026-06-02T12:46:04.147495+00:00,venues,ok,1,Kansas City Stadium,39.049;-94.484
2026-06-02T12:46:07.484181+00:00,venues,ok,1,Los Angeles Stadium,34.161;-118.168
2026-06-02T12:46:09.348631+00:00,venues,ok,1,Mexico City Stadium,19.303;-99.150
2026-06-02T12:46:12.085794+00:00,venues,ok,1,Miami Stadium,25.781;-80.188
2026-06-02T12:46:14.132031+00:00,venues,ok,1,Monterrey Stadium,25.701;-100.316
2026-06-02T12:46:15.486945+00:00,venues,ok,1,New York/New Jersey Stadium,40.814;-74.074
2026-06-02T12:46:17.647672+00:00,venues,ok,1,Philadelphia Stadium,39.944;-75.194
2026-06-02T12:46:19.376194+00:00,venues,ok,1,San Francisco Bay Area Stadium,37.403;-121.970
2026-06-02T12:46:20.968190+00:00,venues,ok,1,Seattle Stadium,47.591;-122.327
2026-06-02T12:46:23.000020+00:00,venues,ok,1,Toronto Stadium,43.633;-79.419
2026-06-02T12:46:26.533006+00:00,venues,ok,15,open-elevation,
2026-06-02T12:47:07.469644+00:00,db,ok,49353,matches,
2026-06-02T12:47:08.075548+00:00,db,ok,98562,team_match_features,
2026-06-02T12:47:08.197353+00:00,db,ok,18127,players,
2026-06-02T12:47:08.254143+00:00,db,ok,12948,squads,
2026-06-02T12:47:08.287932+00:00,db,ok,18142,elo_ratings,
2026-06-02T12:47:08.408104+00:00,db,ok,67261,fifa_rankings,
2026-06-02T12:47:08.417792+00:00,db,ok,48,market_values,
2026-06-02T12:47:08.434012+00:00,db,ok,900,wc_matches_history,
2026-06-02T12:47:08.444798+00:00,db,ok,21,wc_tournaments,
2026-06-02T12:47:08.454295+00:00,db,ok,104,wc2026_fixtures,
2026-06-02T12:47:08.465062+00:00,db,ok,49,wc2026_qualified_teams,
2026-06-02T12:47:08.614877+00:00,db,ok,47601,goalscorers,
2026-06-02T12:47:08.622847+00:00,db,ok,0,odds,
2026-06-02T12:47:08.634424+00:00,db,ok,16,venues,
2026-06-02T12:48:27.562889+00:00,features,ok,98562,team_match_features,
2026-06-02T12:48:29.202476+00:00,db,ok,49353,matches,
2026-06-02T12:48:29.931920+00:00,db,ok,98562,team_match_features,
2026-06-02T12:48:30.074239+00:00,db,ok,18127,players,
2026-06-02T12:48:30.145325+00:00,db,ok,12948,squads,
2026-06-02T12:48:30.187862+00:00,db,ok,18142,elo_ratings,
2026-06-02T12:48:30.325311+00:00,db,ok,67261,fifa_rankings,
2026-06-02T12:48:30.335241+00:00,db,ok,48,market_values,
2026-06-02T12:48:30.354555+00:00,db,ok,900,wc_matches_history,
2026-06-02T12:48:30.366135+00:00,db,ok,21,wc_tournaments,
2026-06-02T12:48:30.379473+00:00,db,ok,104,wc2026_fixtures,
2026-06-02T12:48:30.392434+00:00,db,ok,49,wc2026_qualified_teams,
2026-06-02T12:48:30.648781+00:00,db,ok,47601,goalscorers,
2026-06-02T12:48:30.660590+00:00,db,ok,0,odds,
2026-06-02T12:48:30.672972+00:00,db,ok,16,venues,
2026-06-02T17:24:39.128317+00:00,wc2026_squads,ok,1246,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,48 teams
2026-06-02T17:25:12.619071+00:00,odds,ok,0,austro/beat-the-bookie-worldwide-football-dataset,
2026-06-02T17:26:05.731518+00:00,statsbomb,ok,255,WC2022+2018,xg+lineups
2026-06-02T17:29:03.402935+00:00,odds,ok,479440,austro/beat-the-bookie-worldwide-football-dataset,
2026-06-12T09:26:35.985959+00:00,statsbomb,ok,665,WC2022+2018,xg+lineups
