2026-06-02 18:17:08,407 | INFO    | s10_db             |   table fifa_rankings              67261 rows, 4 cols
2026-06-02 18:17:08,417 | INFO    | s10_db             |   table market_values                 48 rows, 6 cols
2026-06-02 18:17:08,433 | INFO    | s10_db             |   table wc_matches_history           900 rows, 15 cols
2026-06-02 18:17:08,444 | INFO    | s10_db             |   table wc_tournaments                21 rows, 10 cols
2026-06-02 18:17:08,454 | INFO    | s10_db             |   table wc2026_fixtures              104 rows, 9 cols
2026-06-02 18:17:08,464 | INFO    | s10_db             |   table wc2026_qualified_teams        49 rows, 3 cols
2026-06-02 18:17:08,614 | INFO    | s10_db             |   table goalscorers                47601 rows, 8 cols
2026-06-02 18:17:08,622 | INFO    | s10_db             |   table odds                           0 rows, 9 cols
2026-06-02 18:17:08,634 | INFO    | s10_db             |   table venues                        16 rows, 7 cols
2026-06-02 18:17:08,635 | INFO    | s10_db             | stage 10 (db) complete: 18 tables -> ['elo_ratings', 'fifa_rankings', 'goalscorers', 'injuries', 'market_values', 'matches', 'odds', 'player_match_stats', 'player_tournament_stats', 'players', 'squads', 'team_match_features', 'team_match_stats', 'venues', 'wc2026_fixtures', 'wc2026_qualified_teams', 'wc_matches_history', 'wc_tournaments']
2026-06-02 18:17:11,779 | INFO    | s11_quality        | ================================================================
2026-06-02 18:17:11,780 | INFO    | s11_quality        | DATA QUALITY SUMMARY
2026-06-02 18:17:11,780 | INFO    | s11_quality        | ================================================================
2026-06-02 18:17:11,780 | INFO    | s11_quality        |   elo_ratings                   18142 rows x  4 cols [1901-12-31..2026-06-02]
2026-06-02 18:17:11,780 | INFO    | s11_quality        |   fifa_rankings                 67261 rows x  4 cols [1992-12-31..2024-04-04]
2026-06-02 18:17:11,780 | INFO    | s11_quality        |   goalscorers                   47601 rows x  8 cols [1916-07-02..2026-03-31]
2026-06-02 18:17:11,780 | INFO    | s11_quality        |   injuries                          0 rows x  5 cols
2026-06-02 18:17:11,780 | INFO    | s11_quality        |   market_values                    48 rows x  6 cols [2022-09-01..2022-09-01]
2026-06-02 18:17:11,780 | INFO    | s11_quality        |   matches                       49353 rows x 14 cols [1872-11-30..2026-06-27]
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   odds                              0 rows x  9 cols
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   player_match_stats                0 rows x 12 cols
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   player_tournament_stats           0 rows x  8 cols
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   players                       18127 rows x 22 cols
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   squads                        12948 rows x  6 cols
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   team_match_features           98562 rows x 30 cols [1872-11-30..2026-05-31]
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   team_match_stats                  0 rows x 13 cols
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   venues                           16 rows x  7 cols
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   wc2026_fixtures                 104 rows x  9 cols
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   wc2026_qualified_teams           49 rows x  3 cols
2026-06-02 18:17:11,781 | INFO    | s11_quality        |   wc_matches_history              900 rows x 15 cols [1930-07-13..2018-07-15]
2026-06-02 18:17:11,782 | INFO    | s11_quality        |   wc_tournaments                   21 rows x 10 cols
2026-06-02 18:17:11,782 | INFO    | s11_quality        |   empty tables (blocked/unavailable sources): ['injuries', 'odds', 'player_match_stats', 'player_tournament_stats', 'team_match_stats']
2026-06-02 18:17:11,782 | INFO    | s11_quality        | ================================================================
2026-06-02 18:17:11,782 | INFO    | s11_quality        | reports -> C:\Users\HP\OneDrive\Desktop\worldCup\fifa_wc_data\logs\table_summary.csv , C:\Users\HP\OneDrive\Desktop\worldCup\fifa_wc_data\logs\data_quality_report.csv
2026-06-02 18:18:24,024 | INFO    | s09_features       | canonical matches: 49353 (1872-11-30..2026-06-27)
2026-06-02 18:18:24,176 | INFO    | common             | wrote  49353 rows -> fifa_wc_data\processed\matches.csv
2026-06-02 18:18:27,562 | INFO    | common             | wrote  98562 rows -> fifa_wc_data\processed\team_match_features.csv
2026-06-02 18:18:27,563 | INFO    | s09_features       | stage 09 (features) complete: 98562 team-match rows, 30 feature cols
2026-06-02 18:18:28,927 | INFO    | s10_db             | building C:\Users\HP\OneDrive\Desktop\worldCup\fifa_wc_data\db\football.db
2026-06-02 18:18:29,202 | INFO    | s10_db             |   table matches                    49353 rows, 14 cols
2026-06-02 18:18:29,931 | INFO    | s10_db             |   table team_match_features        98562 rows, 30 cols
2026-06-02 18:18:30,073 | INFO    | s10_db             |   table players                    18127 rows, 22 cols
