team,venue_id,venue_name,distance_km,timezone_delta,travel_fatigue_index,altitude_delta_m,eastward_penalty
Curaçao,6,Houston Stadium,3362.09,-1,8.121,15.0,0
Curaçao,7,Kansas City Stadium,3915.21,-1,8.273,273.0,0
Curaçao,8,Los Angeles Stadium,5536.06,-3,25.858,247.0,0
Curaçao,9,Mexico City Stadium,3331.5,-2,16.223,2287.0,0
Curaçao,10,Miami Stadium,1926.36,0,0.0,12.0,0
Curaçao,11,Monterrey Stadium,3621.29,-2,16.39,549.0,0
Curaçao,12,New York/New Jersey Stadium,3230.36,0,0.0,9.0,0
Curaçao,13,Philadelphia Stadium,3155.05,0,0.0,1.0,0
Curaçao,14,San Francisco Bay Area Stadium,5955.26,-3,26.077,1.0,0
Curaçao,15,Seattle Stadium,6314.24,-3,26.252,3.0,0
Curaçao,16,Toronto Stadium,3646.69,0,0.0,85.0,0
Czechia,1,Atlanta Stadium,7767.41,-7,62.705,290.0,0
Czechia,2,BC Place Vancouver,8250.8,-9,81.164,11.0,0
Czechia,3,Boston Stadium,6299.25,-6,52.49,83.0,0
Czechia,4,Dallas Stadium,8593.72,-7,63.412,149.0,0
Czechia,5,Guadalajara Stadium,10065.62,-8,73.736,1566.0,0
Czechia,6,Houston Stadium,8786.55,-7,63.568,15.0,0
Czechia,7,Kansas City Stadium,7922.19,-7,62.843,273.0,0
Czechia,8,Los Angeles Stadium,9553.93,-9,82.483,247.0,0
Czechia,9,Mexico City Stadium,9936.64,-8,73.633,2287.0,0
Czechia,10,Miami Stadium,8153.35,-6,54.038,12.0,0
Czechia,11,Monterrey Stadium,9430.59,-8,73.215,549.0,0
Czechia,12,New York/New Jersey Stadium,6569.32,-6,52.742,9.0,0
Czechia,13,Philadelphia Stadium,6704.5,-6,52.864,1.0,0
Czechia,14,San Francisco Bay Area Stadium,9391.26,-9,82.329,1.0,0
Czechia,15,Seattle Stadium,8391.8,-9,81.316,3.0,0
Czechia,16,Toronto Stadium,6686.8,-6,52.848,85.0,0
Côte d'Ivoire,1,Atlanta Stadium,15173.11,-16,154.038,290.0,0
Côte d'Ivoire,2,BC Place Vancouver,12753.57,-18,170.166,11.0,0
Côte d'Ivoire,3,Boston Stadium,16467.02,-15,145.638,83.0,0
Côte d'Ivoire,4,Dallas Stadium,14055.92,-16,152.814,149.0,0
Côte d'Ivoire,5,Guadalajara Stadium,12869.3,-17,160.866,1566.0,0
Côte d'Ivoire,6,Houston Stadium,14038.21,-16,152.794,15.0,0
Côte d'Ivoire,7,Kansas City Stadium,14483.28,-16,153.293,273.0,0
